episode,episode_steps,episode_reward,epsilon,running_avg_100,generalization_avg,generalization_seeds,generalization_rewards,best_running_avg_100,best_generalization_avg,saved_best_running_model,saved_best_generalization_model
226,10,10.0,0.18530246275487394,25.55,40.3,,,25.93,40.3,0,0
227,11,11.0,0.18475327614056802,25.55,40.3,,,25.93,40.3,0,0
228,10,10.0,0.184256269172537,25.48,40.3,,,25.93,40.3,0,0
229,10,10.0,0.1837613989465561,25.37,40.3,,,25.93,40.3,0,0
230,10,10.0,0.18326865627630223,25.28,40.3,,,25.93,40.3,0,0
231,11,11.0,0.18272908575032137,25.01,40.3,,,25.93,40.3,0,0
232,12,12.0,0.1821433725240264,24.94,40.3,,,25.93,40.3,0,0
233,10,10.0,0.1816575861045247,24.85,40.3,,,25.93,40.3,0,0
234,11,11.0,0.18112563291737765,24.82,40.3,,,25.93,40.3,0,0
235,9,9.0,0.18069226979393782,24.74,40.3,,,25.93,40.3,0,0
236,14,14.0,0.1800214806274387,24.69,40.3,,,25.93,40.3,0,0
237,13,13.0,0.17940221751659005,24.62,40.3,,,25.93,40.3,0,0
238,12,12.0,0.17883366042699655,24.6,40.3,,,25.93,40.3,0,0
239,12,12.0,0.1782680352969718,24.5,40.3,,,25.93,40.3,0,0
240,13,13.0,0.1776585658402028,24.43,40.3,,,25.93,40.3,0,0
241,15,15.0,0.17695956060645168,24.4,40.3,,,25.93,40.3,0,0
242,10,10.0,0.1764960605322461,24.27,40.3,,,25.93,40.3,0,0
243,13,13.0,0.17589648822344164,24.24,40.3,,,25.93,40.3,0,0
244,9,9.0,0.17548336257297123,24.12,40.3,,,25.93,40.3,0,0
245,10,10.0,0.17502620899814145,24.01,40.3,,,25.93,40.3,0,0
246,15,15.0,0.17434416112562828,23.99,40.3,,,25.93,40.3,0,0
247,12,12.0,0.1738016876380265,23.88,40.3,,,25.93,40.3,0,0
248,10,10.0,0.17335176395287477,23.8,40.3,,,25.93,40.3,0,0
249,9,9.0,0.17294848671771018,23.63,9.933333333333334,42|49|56|63|70|77|84|91|98|105|112|119|126|133|140|147|154|161|168|175|182|189|196|203|210|217|224|231|238|245,9.0|10.0|8.0|11.0|10.0|11.0|9.0|9.0|11.0|11.0|9.0|9.0|11.0|11.0|9.0|10.0|11.0|11.0|9.0|11.0|10.0|10.0|9.0|11.0|10.0|9.0|9.0|11.0|8.0|11.0,25.93,40.3,0,0
250,11,11.0,0.17245771122854853,23.57,9.933333333333334,,,25.93,40.3,0,0
251,11,11.0,0.1719692561865392,23.53,9.933333333333334,,,25.93,40.3,0,0
252,10,10.0,0.17152721052642167,23.42,9.933333333333334,,,25.93,40.3,0,0
253,12,12.0,0.17099926361040796,23.34,9.933333333333334,,,25.93,40.3,0,0
254,10,10.0,0.1705613881612916,23.19,9.933333333333334,,,25.93,40.3,0,0
255,13,13.0,0.16999496323796137,23.16,9.933333333333334,,,25.93,40.3,0,0
256,11,11.0,0.16951815237274537,23.09,9.933333333333334,,,25.93,40.3,0,0
257,11,11.0,0.16904359592821414,23.0,9.933333333333334,,,25.93,40.3,0,0
258,9,9.0,0.16865699186601557,22.85,9.933333333333334,,,25.93,40.3,0,0
259,14,14.0,0.16805857958167314,22.8,9.933333333333334,,,25.93,40.3,0,0
260,11,11.0,0.167590924177641,22.74,9.933333333333334,,,25.93,40.3,0,0
261,11,11.0,0.1671254799061419,22.54,9.933333333333334,,,25.93,40.3,0,0
262,10,10.0,0.1667042587034775,22.39,9.933333333333334,,,25.93,40.3,0,0
263,9,9.0,0.16632670818189077,22.19,9.933333333333334,,,25.93,40.3,0,0
264,10,10.0,0.1659089210742017,22.06,9.933333333333334,,,25.93,40.3,0,0
265,12,12.0,0.1654099467940422,21.99,9.933333333333334,,,25.93,40.3,0,0
266,11,11.0,0.1649548144530914,21.92,9.933333333333334,,,25.93,40.3,0,0
267,10,10.0,0.1645429254176773,21.83,9.933333333333334,,,25.93,40.3,0,0
268,12,12.0,0.16405099536246764,21.79,9.933333333333334,,,25.93,40.3,0,0
269,12,12.0,0.1635616021132515,21.61,9.933333333333334,,,25.93,40.3,0,0
270,14,14.0,0.16299383211452034,21.6,9.933333333333334,,,25.93,40.3,0,0
271,11,11.0,0.16255012346230618,21.44,9.933333333333334,,,25.93,40.3,0,0
272,13,13.0,0.16202844447649611,21.38,9.933333333333334,,,25.93,40.3,0,0
273,11,11.0,0.16158930029631652,21.21,9.933333333333334,,,25.93,40.3,0,0
274,14,14.0,0.16103339118331123,21.17,9.933333333333334,,,25.93,40.3,0,0
275,12,12.0,0.16055955924466447,21.1,9.933333333333334,,,25.93,40.3,0,0
276,11,11.0,0.16012736013535447,21.05,9.933333333333334,,,25.93,40.3,0,0
277,14,14.0,0.15958024273213633,20.96,9.933333333333334,,,25.93,40.3,0,0
278,11,11.0,0.15915267395230054,20.92,9.933333333333334,,,25.93,40.3,0,0
279,10,10.0,0.1587657295924868,20.77,9.933333333333334,,,25.93,40.3,0,0
280,12,12.0,0.15830359162832647,20.6,9.933333333333334,,,25.93,40.3,0,0
281,10,10.0,0.15792029765979962,20.41,9.933333333333334,,,25.93,40.3,0,0
282,12,12.0,0.15746251945526607,20.21,9.933333333333334,,,25.93,40.3,0,0
283,13,13.0,0.15696925665835748,19.88,9.933333333333334,,,25.93,40.3,0,0
284,15,15.0,0.1564035297415705,19.81,9.933333333333334,,,25.93,40.3,0,0
285,11,11.0,0.15599098085326454,19.1,9.933333333333334,,,25.93,40.3,0,0
286,10,10.0,0.15561762930608472,18.89,9.933333333333334,,,25.93,40.3,0,0
287,16,16.0,0.15502360260876996,18.76,9.933333333333334,,,25.93,40.3,0,0
288,11,11.0,0.15461757818644978,17.93,9.933333333333334,,,25.93,40.3,0,0
289,11,11.0,0.1542134734977661,17.59,9.933333333333334,,,25.93,40.3,0,0
290,10,10.0,0.1538477638448759,17.21,9.933333333333334,,,25.93,40.3,0,0
291,13,13.0,0.15337469082258726,16.82,9.933333333333334,,,25.93,40.3,0,0
292,10,10.0,0.15301258728053296,16.3,9.933333333333334,,,25.93,40.3,0,0
293,15,15.0,0.15247234880469995,16.07,9.933333333333334,,,25.93,40.3,0,0
294,11,11.0,0.1520783870255949,14.93,9.933333333333334,,,25.93,40.3,0,0
295,13,13.0,0.15161519664076487,14.13,9.933333333333334,,,25.93,40.3,0,0
296,14,14.0,0.15111926906945894,13.91,9.933333333333334,,,25.93,40.3,0,0
297,9,9.0,0.15080203449338653,13.88,9.933333333333334,,,25.93,40.3,0,0
298,20,20.0,0.15010145744926956,13.54,9.933333333333334,,,25.93,40.3,0,0
299,10,10.0,0.14975342625597182,13.53,13.266666666666667,42|49|56|63|70|77|84|91|98|105|112|119|126|133|140|147|154|161|168|175|182|189|196|203|210|217|224|231|238|245,11.0|12.0|8.0|13.0|14.0|10.0|13.0|15.0|13.0|14.0|11.0|9.0|60.0|11.0|10.0|11.0|12.0|11.0|9.0|13.0|10.0|11.0|12.0|12.0|12.0|13.0|10.0|11.0|14.0|13.0,25.93,40.3,0,0
300,9,9.0,0.14944147766998694,13.1,13.266666666666667,,,25.93,40.3,0,0
301,19,19.0,0.14878687851549138,12.84,13.266666666666667,,,25.93,40.3,0,0
302,21,21.0,0.14806958137809936,12.81,13.266666666666667,,,25.93,40.3,0,0
303,12,12.0,0.1476626017695015,12.69,13.266666666666667,,,25.93,40.3,0,0
304,15,15.0,0.14715682732813318,12.74,13.266666666666667,,,25.93,40.3,0,0
305,27,27.0,0.14625462974980713,12.8,13.266666666666667,,,25.93,40.3,0,0
306,25,25.0,0.1454285679183747,12.46,13.266666666666667,,,25.93,40.3,0,0
307,15,15.0,0.14493718488413854,12.43,13.266666666666667,,,25.93,40.3,0,0
308,15,15.0,0.14444896728685397,12.5,13.266666666666667,,,25.93,40.3,0,0
309,19,19.0,0.14383507062955647,12.59,13.266666666666667,,,25.93,40.3,0,0
310,15,15.0,0.14335395273442542,12.62,13.266666666666667,,,25.93,40.3,0,0
311,24,24.0,0.1425906023560881,12.51,13.266666666666667,,,25.93,40.3,0,0
312,14,14.0,0.1421489462358418,12.56,13.266666666666667,,,25.93,40.3,0,0
313,14,14.0,0.14170994611516274,12.62,13.266666666666667,,,25.93,40.3,0,0
314,11,11.0,0.14136687030576167,12.62,13.266666666666667,,,25.93,40.3,0,0
315,17,17.0,0.1408398500787298,12.67,13.266666666666667,,,25.93,40.3,0,0
316,15,15.0,0.14037802707403912,12.55,13.266666666666667,,,25.93,40.3,0,0
